"DENPASAR","Freq"
"Stone carving",19
"Wall",19
"Wood",19
"Eyebrow",20
"Lip",20
"Social group",20
"T-shirt",20
"Vegetarian food",20
"Carnivore",21
"Dog",21
"Landscape",21
"Arecales",22
"Boat",22
"Body of water",22
"Dancer",22
"Neighbourhood",22
"Play",22
"Public space",22
"Selling",22
"Textile",22
"Town",22
"Canidae",23
"Crowd",23
"Drink",23
"Headgear",23
"Natural landscape",23
"Swimming pool",23
"Wat",23
"Black-and-white",24
"Brunch",24
"Leaf",24
"Sitting",24
"Chin",25
"City",25
"Glasses",25
"Snapshot",25
"Fashion accessory",26
"Floor",26
"Hand",26
"Night",26
"Rock",26
"Organism",27
"Dance",28
"Friendship",28
"Home",28
"Hair",29
"Recipe",29
"Text",29
"Blue",30
"Happy",30
"Monument",30
"Nature",30
"Performing arts",30
"Tradition",30
"Ceiling",31
"Lunch",31
"Performance",31
"Reflection",31
"Street",33
"Beauty",34
"Car",34
"Flowering plant",34
"Sculpture",34
"Toddler",34
"Youth",34
"Pink",35
"Table",35
"Road",36
"Forehead",37
"Evening",38
"Historic site",38
"Nose",38
"Palm tree",38
"Place of worship",38
"Botany",40
"Cool",40
"Sand",40
"Skin",40
"Statue",40
"Community",41
"Petal",41
"Resort",41
"Head",42
"Yellow",42
"Grass",43
"Team",43
"Font",44
"Travel",44
"Meal",45
"Produce",45
"Summer",46
"Sunrise",46
"Calm",47
"Transport",47
"Mode of transport",48
"Real estate",49
"Face",50
"Morning",50
"Adaptation",51
"Selfie",52
"Recreation",55
"Furniture",56
"Shore",64
"Interior design",65
"Sunset",65
"Art",67
"Ingredient",67
"Property",67
"Coast",68
"People",68
"Flower",71
"Dish",81
"House",84
"Room",87
"Child",93
"Cloud",93
"Cuisine",93
"Horizon",93
"Beach",94
"Smile",96
"Ocean",101
"Food",112
"Temple",112
"Architecture",117
"Water",120
"Tourism",126
"Event",127
"Photography",128
"Vehicle",130
"Leisure",131
"Fun",133
"Sea",161
"Building",162
"Plant",164
"Tree",164
"Vacation",175
"Sky",258
